Local authority ONS code,Local authority,Region,Region ONS code,Female 2017,Male 2017,Not known 2017,Total 2017,Female 2018,Male 2018,Not known 2018,Total 2018,Female 2019,Male 2019,Not known 2019,Total 2019,Female 2020,Male 2020,Not known 2020,Total 2020,Female 2021,Male 2021,Not known 2021,Total 2021,Female 2022,Male 2022,Not known 2022,Total 2022,
---,---,England,E92000001,653,3965,133,4751,642,3937,98,4677,614,3534,118,4266,377,2277,34,2688,322,2079,42,2443,464,2539,66,3069,
---,---,London,E12000007,133,930,74,1137,162,1081,40,1283,148,948,40,1136,109,594,11,714,86,538,16,640,141,693,24,858,
---,---,Rest of England,-,520,3035,59,3614,480,2856,58,3394,466,2586,78,3130,268,1683,23,1974,236,1541,26,1803,323,1846,42,2211,
---,---,East Midlands,E12000004,44,254,15,313,48,298,12,358,42,255,8,305,16,168,3,187,14,159,2,175,23,185,5,213,E11111111
---,---,East of England,E12000006,97,504,14,615,74,398,12,484,75,374,9,458,40,221,5,266,38,201,2,241,41,243,1,285,
---,---,North East,E12000001,5,46,0,51,7,59,0,66,4,53,10,67,5,67,0,72,5,40,3,48,10,50,1,61,
---,---,North West,E12000002,49,385,0,434,59,357,12,428,52,280,17,349,35,188,3,226,28,167,5,200,36,202,9,247,
---,---,South East,E12000008,183,933,3,1119,140,782,12,934,148,743,9,900,62,408,4,474,52,389,4,445,82,481,9,572,
---,---,South West,E12000009,78,495,7,580,73,381,4,458,68,406,16,490,55,294,5,354,54,274,6,334,83,315,15,413,
---,---,West Midlands,E12000005,43,232,20,295,55,359,6,420,55,256,8,319,34,178,2,214,27,167,0,194,31,217,2,250,
---,---,Yorkshire and The Humber,E12000003,21,186,0,207,24,222,0,246,22,219,1,242,21,159,1,181,18,144,4,166,17,153,0,170,
E07000223,Adur,South East,E12000008,0,2,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1,4,0,5,
E07000026,Allerdale,North West,E12000002,0,1,0,1,0,3,0,3,1,7,0,8,0,1,0,1,0,0,0,0,0,2,0,2,
E07000032,Amber Valley,East Midlands,E12000004,0,4,0,4,1,5,0,6,0,4,0,4,1,1,0,2,0,1,0,1,0,0,0,0,
E07000224,Arun,South East,E12000008,3,14,0,17,1,17,0,18,3,23,2,28,2,13,0,15,3,14,0,17,1,8,0,9,
E07000170,Ashfield,East Midlands,E12000004,0,5,0,5,0,5,0,5,1,4,0,5,0,4,0,4,0,6,0,6,0,4,0,4,
E07000105,Ashford,South East,E12000008,2,9,0,11,6,14,0,20,7,18,0,25,0,0,0,0,0,0,0,0,1,7,0,8,
E07000200,Babergh,East of England,E12000006,0,1,0,1,0,0,0,0,0,2,0,2,1,5,0,6,1,3,0,4,0,5,0,5,
E09000002,Barking and Dagenham,London,E12000007,0,0,0,0,1,8,0,9,0,14,0,14,1,9,0,10,0,3,0,3,2,9,0,11,
E09000003,Barnet,London,E12000007,2,19,0,21,0,24,0,24,1,23,0,24,0,6,0,6,2,11,0,13,3,5,0,8,
E08000016,Barnsley,Yorkshire and The Humber,E12000003,0,0,0,0,3,14,0,17,0,2,0,2,1,9,0,10,0,6,1,7,1,4,0,5,
E07000027,Barrow-in-Furness,North West,E12000002,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,
E07000066,Basildon,East of England,E12000006,3,21,0,24,3,9,0,12,1,4,0,5,0,3,0,3,0,2,0,2,0,1,0,1,
E07000084,Basingstoke and Deane,South East,E12000008,2,13,0,15,1,7,0,8,0,5,0,5,0,0,0,0,0,2,0,2,0,2,0,2,
E07000171,Bassetlaw,East Midlands,E12000004,2,11,0,13,1,15,0,16,4,9,0,13,0,4,0,4,1,16,0,17,0,8,0,8,
E06000022,Bath and North East Somerset,South West,E12000009,5,29,0,34,7,13,0,20,3,14,0,17,5,8,0,13,1,13,0,14,4,8,0,12,
E06000055,Bedford,East of England,E12000006,11,65,0,76,10,41,0,51,6,24,0,30,1,5,0,6,0,2,0,2,0,2,0,2,
E09000004,Bexley,London,E12000007,3,13,0,16,0,5,0,5,1,8,0,9,2,14,0,16,0,7,0,7,1,10,0,11,
E08000025,Birmingham,West Midlands,E12000005,13,36,8,57,6,81,4,91,8,41,3,52,3,12,2,17,4,27,0,31,3,36,0,39,
E07000129,Blaby,East Midlands,E12000004,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
E06000008,Blackburn with Darwen,North West,E12000002,0,2,0,2,1,14,0,15,4,17,0,21,4,14,0,18,2,9,0,11,1,9,0,10,
E06000009,Blackpool,North West,E12000002,1,12,0,13,2,10,0,12,4,11,0,15,3,7,0,10,6,8,0,14,1,6,0,7,
E07000033,Bolsover,East Midlands,E12000004,0,5,0,5,0,2,0,2,0,2,0,2,0,4,0,4,0,0,0,0,0,1,0,1,
E08000001,Bolton,North West,E12000002,4,13,0,17,6,15,0,21,2,9,0,11,1,7,0,8,1,8,1,10,0,2,0,2,
E07000136,Boston,East Midlands,E12000004,2,13,0,15,5,17,0,22,4,15,0,19,0,8,0,8,1,5,0,6,1,4,0,5,
E06000058,"Bournemouth, Christchurch and Poole",South West,E12000009,10,56,0,66,2,43,0,45,10,59,3,72,5,20,0,25,7,18,4,29,12,50,2,64,
E06000036,Bracknell Forest,South East,E12000008,0,6,0,6,3,16,0,19,7,15,0,22,0,4,0,4,0,2,0,2,0,2,0,2,
E08000032,Bradford,Yorkshire and The Humber,E12000003,0,15,0,15,2,22,0,24,1,12,0,13,1,4,0,5,1,17,0,18,1,12,0,13,
E07000067,Braintree,East of England,E12000006,0,0,0,0,1,4,0,5,0,5,0,5,0,0,0,0,1,4,0,5,0,3,0,3,
E07000143,Breckland,East of England,E12000006,0,1,0,1,0,5,0,5,5,11,0,16,0,6,2,8,0,8,0,8,0,15,0,15,
E09000005,Brent,London,E12000007,1,25,3,29,1,26,3,30,5,20,0,25,0,11,1,12,0,17,0,17,2,20,1,23,
E07000068,Brentwood,East of England,E12000006,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E06000043,Brighton and Hove,South East,E12000008,19,159,0,178,5,57,2,64,12,73,3,88,4,23,0,27,3,32,2,37,4,37,0,41,
E06000023,"Bristol, City of",South West,E12000009,18,64,4,86,14,66,2,82,13,76,9,98,7,39,4,50,10,58,0,68,17,40,1,58,
E07000144,Broadland,East of England,E12000006,0,2,0,2,0,2,0,2,0,1,0,1,0,3,0,3,1,1,0,2,1,0,0,1,
E09000006,Bromley,London,E12000007,2,3,0,5,0,6,0,6,1,7,0,8,1,0,0,1,1,0,0,1,0,0,0,0,
E07000234,Bromsgrove,West Midlands,E12000005,0,1,0,1,0,0,0,0,1,2,0,3,0,2,0,2,0,0,0,0,0,0,0,0,
E07000095,Broxbourne,East of England,E12000006,0,2,0,2,0,0,0,0,0,1,0,1,1,2,0,3,0,1,0,1,0,2,0,2,
E07000172,Broxtowe,East Midlands,E12000004,0,1,0,1,0,3,0,3,0,1,0,1,1,1,0,2,0,1,0,1,0,2,0,2,
E06000060,Buckinghamshire,South East,E12000008,5,31,0,36,5,34,0,39,6,30,0,36,0,5,0,5,0,3,0,3,3,13,0,16,
E07000117,Burnley,North West,E12000002,0,1,0,1,0,1,0,1,1,7,0,8,0,3,0,3,0,6,0,6,1,3,0,4,
E08000002,Bury,North West,E12000002,3,7,0,10,0,3,0,3,0,4,0,4,1,6,0,7,0,1,0,1,0,4,1,5,
E08000033,Calderdale,Yorkshire and The Humber,E12000003,1,5,0,6,0,5,0,5,0,5,0,5,0,6,0,6,1,2,0,3,0,3,0,3,
E07000008,Cambridge,East of England,E12000006,5,21,0,26,5,22,0,27,9,24,0,33,3,13,0,16,4,9,1,14,8,15,0,23,
E09000007,Camden,London,E12000007,29,97,1,127,24,117,0,141,10,55,0,65,8,33,1,42,16,75,6,97,22,68,0,90,
E07000192,Cannock Chase,West Midlands,E12000005,0,5,0,5,0,2,0,2,0,1,0,1,1,7,0,8,1,3,0,4,0,4,0,4,
E07000106,Canterbury,South East,E12000008,8,28,0,36,1,32,0,33,9,30,0,39,2,22,0,24,2,16,0,18,4,18,0,22,
E07000028,Carlisle,North West,E12000002,0,1,0,1,0,3,0,3,0,5,0,5,1,0,0,1,0,0,0,0,0,0,0,0,
E07000069,Castle Point,East of England,E12000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,2,0,2,
E06000056,Central Bedfordshire,East of England,E12000006,1,12,0,13,2,15,0,17,1,12,0,13,0,6,0,6,0,3,0,3,0,4,0,4,
E07000130,Charnwood,East Midlands,E12000004,0,0,0,0,0,3,0,3,0,3,0,3,1,4,0,5,0,2,0,2,1,5,0,6,
E07000070,Chelmsford,East of England,E12000006,3,14,0,17,3,8,3,14,2,13,0,15,2,7,0,9,3,10,0,13,2,13,0,15,
E07000078,Cheltenham,South West,E12000009,1,8,0,9,0,2,0,2,1,8,0,9,2,4,0,6,2,6,0,8,1,7,0,8,
E07000177,Cherwell,South East,E12000008,2,7,0,9,3,8,0,11,3,8,0,11,2,8,0,10,2,4,0,6,2,15,0,17,
E06000049,Cheshire East,North West,E12000002,2,19,0,21,0,10,0,10,2,6,0,8,0,6,0,6,1,3,0,4,4,7,0,11,
E06000050,Cheshire West and Chester,North West,E12000002,3,15,0,18,4,12,1,17,2,12,0,14,1,3,0,4,2,6,0,8,1,9,0,10,
E07000034,Chesterfield,East Midlands,E12000004,2,10,0,12,4,14,0,18,2,11,0,13,1,8,0,9,1,4,0,5,0,1,0,1,
E07000225,Chichester,South East,E12000008,4,6,0,10,2,14,0,16,4,27,0,31,0,3,0,3,0,3,0,3,0,5,0,5,
E07000118,Chorley,North West,E12000002,0,0,0,0,0,3,0,3,0,4,0,4,0,1,0,1,0,5,0,5,0,6,0,6,
E09000001,City of London,London,E12000007,5,31,0,36,4,61,2,67,4,37,0,41,3,20,0,23,0,20,0,20,2,38,3,43,
E07000071,Colchester,East of England,E12000006,5,14,1,20,0,9,4,13,1,9,0,10,0,4,0,4,0,2,0,2,0,7,0,7,
E07000029,Copeland,North West,E12000002,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,
E06000052,Cornwall,South West,E12000009,8,60,0,68,10,43,0,53,7,17,0,24,4,25,0,29,7,21,0,28,7,31,5,43,
E07000079,Cotswold,South West,E12000009,0,1,0,1,1,4,0,5,0,7,0,7,0,5,0,5,0,1,0,1,0,2,0,2,
E06000047,County Durham,North East,E12000001,0,13,0,13,0,12,0,12,0,1,1,2,1,10,0,11,0,11,0,11,1,7,0,8,
E08000026,Coventry,West Midlands,E12000005,2,6,0,8,4,21,0,25,5,16,2,23,1,7,0,8,2,10,0,12,2,11,0,13,
E07000163,Craven,Yorkshire and The Humber,E12000003,0,1,0,1,0,2,0,2,0,3,0,3,1,3,0,4,1,2,0,3,0,9,0,9,
E07000226,Crawley,South East,E12000008,2,15,0,17,4,24,0,28,8,25,0,33,0,11,0,11,1,7,0,8,2,8,0,10,
E09000008,Croydon,London,E12000007,5,26,0,31,3,12,0,15,0,6,0,6,4,11,0,15,3,8,0,11,5,23,3,31,
E07000096,Dacorum,East of England,E12000006,1,6,0,7,1,13,0,14,0,10,0,10,0,7,0,7,0,5,0,5,0,8,0,8,
E06000005,Darlington,North East,E12000001,1,2,0,3,0,3,0,3,0,0,0,0,0,2,0,2,0,2,0,2,0,4,0,4,
E07000107,Dartford,South East,E12000008,1,8,0,9,1,11,0,12,0,13,0,13,1,3,0,4,0,6,0,6,0,4,0,4,
E06000015,Derby,East Midlands,E12000004,5,27,5,37,3,23,0,26,1,13,0,14,0,6,0,6,1,9,1,11,3,9,0,12,
E07000035,Derbyshire Dales,East Midlands,E12000004,1,1,0,2,0,1,0,1,0,3,0,3,1,1,0,2,0,2,0,2,0,2,0,2,
E08000017,Doncaster,Yorkshire and The Humber,E12000003,1,7,0,8,6,21,0,27,2,22,0,24,1,11,1,13,3,15,2,20,1,12,0,13,
E06000059,Dorset,South West,E12000009,4,21,0,25,6,29,0,35,2,16,0,18,0,15,1,16,1,12,0,13,0,12,0,12,
E07000108,Dover,South East,E12000008,4,9,0,13,4,16,0,20,1,8,0,9,1,6,0,7,0,5,0,5,0,6,0,6,
E08000027,Dudley,West Midlands,E12000005,1,10,0,11,0,5,0,5,0,4,0,4,1,3,0,4,1,3,0,4,0,6,1,7,
E09000009,Ealing,London,E12000007,1,61,0,62,2,31,0,33,0,20,0,20,0,25,0,25,0,22,1,23,1,23,0,24,
E07000009,East Cambridgeshire,East of England,E12000006,0,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3,0,3,1,4,0,5,
E07000040,East Devon,South West,E12000009,1,5,0,6,1,4,0,5,1,3,0,4,0,13,0,13,1,7,0,8,1,6,0,7,
E07000085,East Hampshire,South East,E12000008,0,2,0,2,1,3,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,6,0,6,
E07000242,East Hertfordshire,East of England,E12000006,0,3,0,3,1,8,0,9,3,12,0,15,2,4,0,6,2,3,0,5,0,5,0,5,
E07000137,East Lindsey,East Midlands,E12000004,0,9,0,9,3,14,1,18,1,7,0,8,1,3,0,4,0,3,0,3,2,5,2,9,
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E12000003,0,10,0,10,1,7,0,8,3,16,0,19,1,10,0,11,1,6,0,7,2,6,0,8,
E07000193,East Staffordshire,West Midlands,E12000005,1,7,8,16,3,8,0,11,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,2,
E07000244,East Suffolk,East of England,E12000006,4,7,0,11,4,18,0,22,2,11,0,13,3,7,0,10,5,10,0,15,2,9,0,11,
E07000061,Eastbourne,South East,E12000008,5,36,0,41,1,5,0,6,4,10,2,16,4,10,0,14,2,8,0,10,2,10,0,12,
E07000086,Eastleigh,South East,E12000008,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,0,0,
E07000030,Eden,North West,E12000002,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
E07000207,Elmbridge,South East,E12000008,3,5,0,8,2,9,0,11,1,8,0,9,1,4,0,5,0,5,0,5,1,5,0,6,
E09000010,Enfield,London,E12000007,0,9,0,9,3,75,0,78,1,23,0,24,0,19,0,19,2,19,0,21,1,10,0,11,
E07000072,Epping Forest,East of England,E12000006,1,1,0,2,0,3,0,3,0,2,0,2,0,1,0,1,0,2,0,2,0,1,0,1,
E07000208,Epsom and Ewell,South East,E12000008,0,3,0,3,3,3,0,6,0,5,0,5,0,3,0,3,1,3,0,4,0,4,0,4,
E07000036,Erewash,East Midlands,E12000004,1,2,0,3,1,8,0,9,1,10,0,11,1,5,0,6,0,0,0,0,0,3,0,3,
E07000041,Exeter,South West,E12000009,6,29,0,35,2,13,2,17,7,23,1,31,7,30,0,37,4,10,0,14,5,17,0,22,
E07000087,Fareham,South East,E12000008,2,8,0,10,4,15,0,19,2,8,0,10,1,2,0,3,1,6,0,7,2,6,0,8,
E07000010,Fenland,East of England,E12000006,2,7,0,9,8,15,0,23,2,9,0,11,1,4,0,5,2,7,0,9,1,13,0,14,
E07000112,Folkestone and Hythe,South East,E12000008,2,14,0,16,4,12,2,18,2,8,0,10,2,10,0,12,1,7,0,8,1,10,1,12,
E07000080,Forest of Dean,South West,E12000009,0,1,0,1,0,1,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
E07000119,Fylde,North West,E12000002,0,2,0,2,1,1,0,2,2,5,0,7,0,6,0,6,1,1,0,2,0,2,0,2,
E08000037,Gateshead,North East,E12000001,2,6,0,8,1,9,0,10,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,
E07000173,Gedling,East Midlands,E12000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
E07000081,Gloucester,South West,E12000009,1,14,0,15,0,6,0,6,2,12,3,17,2,9,0,11,2,5,0,7,3,9,2,14,
E07000088,Gosport,South East,E12000008,2,7,0,9,0,0,0,0,1,3,0,4,0,3,0,3,1,2,0,3,0,3,0,3,
E07000109,Gravesham,South East,E12000008,1,8,0,9,3,18,0,21,3,10,0,13,0,11,0,11,0,5,0,5,0,4,0,4,
E07000145,Great Yarmouth,East of England,E12000006,0,3,0,3,2,8,0,10,4,9,8,21,2,14,2,18,1,8,0,9,0,7,0,7,
E09000011,Greenwich,London,E12000007,1,7,0,8,1,6,0,7,1,14,1,16,1,9,1,11,1,8,0,9,2,14,0,16,
E07000209,Guildford,South East,E12000008,0,13,0,13,3,13,0,16,4,12,0,16,2,8,0,10,0,8,0,8,0,6,0,6,
E09000012,Hackney,London,E12000007,2,15,1,18,4,17,2,23,4,8,2,14,0,17,1,18,2,9,0,11,2,9,0,11,
E06000006,Halton,North West,E12000002,2,2,0,4,1,4,0,5,2,6,0,8,0,1,0,1,0,0,0,0,1,2,0,3,
E07000164,Hambleton,Yorkshire and The Humber,E12000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,
E09000013,Hammersmith and Fulham,London,E12000007,0,5,0,5,1,11,0,12,0,2,0,2,0,4,0,4,0,3,0,3,1,6,0,7,
E07000131,Harborough,East Midlands,E12000004,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,4,0,4,0,3,0,3,
E09000014,Haringey,London,E12000007,2,35,6,43,3,29,0,32,0,33,0,33,0,8,0,8,0,10,0,10,1,25,0,26,
E07000073,Harlow,East of England,E12000006,2,22,0,24,0,9,0,9,0,3,0,3,0,4,0,4,0,0,0,0,0,4,0,4,
E07000165,Harrogate,Yorkshire and The Humber,E12000003,0,6,0,6,0,7,0,7,1,5,0,6,1,5,0,6,1,2,0,3,0,2,0,2,
E09000015,Harrow,London,E12000007,2,8,0,10,3,10,0,13,1,9,0,10,1,5,0,6,0,1,0,1,1,7,1,9,
E07000089,Hart,South East,E12000008,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,
E06000001,Hartlepool,North East,E12000001,0,4,0,4,1,2,0,3,0,2,0,2,0,8,0,8,0,4,0,4,1,5,0,6,
E07000062,Hastings,South East,E12000008,10,30,0,40,6,42,0,48,2,19,0,21,1,15,0,16,2,21,0,23,7,27,0,34,
E07000090,Havant,South East,E12000008,2,8,0,10,1,4,0,5,0,0,0,0,0,5,0,5,0,3,0,3,0,4,0,4,
E09000016,Havering,London,E12000007,4,18,0,22,1,1,0,2,2,6,0,8,0,3,0,3,0,2,0,2,1,4,0,5,
E06000019,"Herefordshire, County of",West Midlands,E12000005,0,11,0,11,3,15,0,18,5,24,0,29,1,15,0,16,0,12,0,12,3,21,0,24,
E07000098,Hertsmere,East of England,E12000006,0,6,0,6,0,4,0,4,1,6,0,7,1,10,0,11,0,3,0,3,0,2,0,2,
E07000037,High Peak,East Midlands,E12000004,0,3,0,3,0,1,0,1,0,2,0,2,0,3,0,3,0,2,0,2,0,3,0,3,
E09000017,Hillingdon,London,E12000007,7,29,0,36,17,51,2,70,23,77,6,106,1,10,0,11,2,7,0,9,3,20,0,23,
E07000132,Hinckley and Bosworth,East Midlands,E12000004,0,0,0,0,0,1,0,1,0,3,0,3,0,2,0,2,1,3,1,5,1,2,0,3,
E07000227,Horsham,South East,E12000008,1,6,0,7,3,8,0,11,2,9,0,11,1,4,0,5,2,5,0,7,1,5,0,6,
E09000018,Hounslow,London,E12000007,1,21,0,22,2,15,1,18,0,8,0,8,0,6,0,6,0,4,0,4,0,1,0,1,
E07000011,Huntingdonshire,East of England,E12000006,0,4,0,4,0,5,0,5,0,4,0,4,1,7,0,8,0,7,0,7,1,3,0,4,
E07000120,Hyndburn,North West,E12000002,0,6,0,6,0,7,0,7,1,5,0,6,2,2,0,4,0,2,0,2,0,3,0,3,
E07000202,Ipswich,East of England,E12000006,2,19,0,21,1,10,0,11,1,6,0,7,3,6,0,9,1,2,0,3,1,8,0,9,
E06000046,Isle of Wight,South East,E12000008,0,9,0,9,7,17,0,24,0,11,0,11,1,3,0,4,2,3,0,5,0,5,0,5,
E06000053,Isles of Scilly,South West,E12000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E09000019,Islington,London,E12000007,5,18,4,27,4,38,1,43,9,42,0,51,2,18,0,20,2,10,1,13,2,14,0,16,
E09000020,Kensington and Chelsea,London,E12000007,4,16,0,20,0,20,0,20,0,19,0,19,3,18,0,21,1,9,1,11,1,8,0,9,
E07000146,King's Lynn and West Norfolk,East of England,E12000006,4,5,0,9,2,3,0,5,1,2,0,3,0,11,0,11,0,1,0,1,0,3,0,3,
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E12000003,4,24,0,28,2,24,0,26,1,16,1,18,2,17,0,19,1,10,0,11,0,10,0,10,
E09000021,Kingston upon Thames,London,E12000007,6,21,0,27,2,6,15,23,7,13,0,20,1,13,0,14,10,18,0,28,15,20,0,35,
E08000034,Kirklees,Yorkshire and The Humber,E12000003,1,7,0,8,1,12,0,13,2,14,0,16,0,4,0,4,1,4,0,5,0,3,0,3,
E08000011,Knowsley,North West,E12000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E09000022,Lambeth,London,E12000007,6,25,3,34,7,42,1,50,7,32,4,43,3,13,4,20,4,25,0,29,4,27,2,33,
E07000121,Lancaster,North West,E12000002,0,4,0,4,0,4,0,4,1,5,0,6,0,2,0,2,0,3,0,3,2,7,0,9,
E08000035,Leeds,Yorkshire and The Humber,E12000003,5,23,0,28,1,32,0,33,5,35,0,40,5,30,0,35,0,24,1,25,3,34,0,37,
E06000016,Leicester,East Midlands,E12000004,3,21,7,31,4,16,11,31,0,22,0,22,1,11,0,12,1,7,0,8,6,25,3,34,
E07000063,Lewes,South East,E12000008,0,1,0,1,1,8,0,9,1,0,0,1,2,6,0,8,2,9,0,11,2,9,0,11,
E09000023,Lewisham,London,E12000007,4,18,0,22,1,4,0,5,2,12,2,16,2,10,0,12,0,7,0,7,1,7,0,8,
E07000194,Lichfield,West Midlands,E12000005,0,3,0,3,1,4,0,5,2,3,0,5,0,3,0,3,0,4,0,4,1,3,0,4,
E07000138,Lincoln,East Midlands,E12000004,4,24,0,28,2,24,0,26,3,24,0,27,2,6,0,8,2,12,0,14,0,11,0,11,
E08000012,Liverpool,North West,E12000002,1,32,0,33,2,12,1,15,2,13,2,17,1,9,0,10,4,15,1,20,8,28,0,36,
E06000032,Luton,East of England,E12000006,11,76,0,87,4,42,1,47,5,38,0,43,3,12,0,15,2,5,0,7,0,11,0,11,
E07000110,Maidstone,South East,E12000008,4,37,0,41,1,6,2,9,0,3,0,3,0,2,0,2,0,3,0,3,0,0,0,0,
E07000074,Maldon,East of England,E12000006,0,1,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,2,0,2,0,3,0,3,
E07000235,Malvern Hills,West Midlands,E12000005,0,1,0,1,1,1,0,2,2,5,0,7,0,3,0,3,1,5,0,6,1,6,0,7,
E08000003,Manchester,North West,E12000002,14,80,0,94,23,95,5,123,12,76,3,91,9,56,3,68,5,36,2,43,4,49,5,58,
E07000174,Mansfield,East Midlands,E12000004,3,12,0,15,3,14,0,17,5,16,1,22,0,5,2,7,3,7,0,10,0,9,0,9,
E06000035,Medway,South East,E12000008,11,33,0,44,2,17,0,19,2,10,0,12,0,3,0,3,1,10,0,11,1,10,1,12,
E07000133,Melton,East Midlands,E12000004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,2,1,2,0,3,
E07000187,Mendip,South West,E12000009,0,19,0,19,5,9,0,14,0,13,0,13,4,13,0,17,0,9,1,10,2,17,0,19,
